source,target,weight
P0531,P1763,7
P0911,P1687,7
P1090,P1124,7
P0463,P0707,7
P0707,P0849,7
P1614,P1940,7
P0141,P0982,7
P0412,P0707,7
P0502,P0707,7
P0711,P0927,7
P0707,P1206,7
P1206,P1608,7
P0379,P0909,7
P0411,P1674,7
P0737,P1674,7
P0447,P1281,7
P0873,P1281,7
P0340,P0343,7
P1202,P1206,7
P0449,P0909,7
P0449,P1256,7
P0707,P1589,7
P0708,P0909,7
P0708,P1019,7
P0711,P1589,7
P0909,P1019,7
P0909,P1124,7
P0911,P1111,7
P1020,P1356,7
P1090,P1257,7
P1111,P1255,7
P1124,P1839,7
P1356,P1794,7
P1589,P1839,7
P0065,P0842,7
P0531,P1589,7
P0737,P1096,7
P0840,P1589,7
P0163,P0707,7
P0163,P1763,7
P0379,P0708,7
P0379,P1741,7
P0711,P0910,7
P0757,P1257,7
P1256,P1657,7
P1256,P1823,7
P1356,P1741,7
P0570,P0854,7
P0854,P1250,7
P0179,P1112,7
P0565,P0707,7
P0707,P1363,7
P0810,P1020,7
P1019,P1112,7
P0447,P0531,7
P0853,P1252,7
P1308,P1316,7
P1311,P1316,7
P1316,P1361,7
P0464,P0918,7
P0918,P1316,7
P1046,P1316,7
P1251,P1252,7
P1251,P1257,7
P1281,P1282,7
P0297,P0911,7
P0905,P1252,7
P0905,P1253,7
